"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2021","306.84","313.73","313.75","299.50","27.47M","-1.14%"
"12/02/2021","310.39","311.40","314.60","307.20","24.40M","-0.07%"
"12/01/2021","310.60","330.29","330.50","310.29","30.38M","-4.27%"
"11/30/2021","324.46","335.00","335.81","323.43","25.39M","-4.01%"
"11/29/2021","338.03","336.89","340.67","335.31","16.65M","1.47%"
"11/26/2021","333.12","335.80","337.75","331.90","14.75M","-2.33%"
"11/24/2021","341.06","336.00","341.78","332.81","13.57M","1.13%"
"11/23/2021","337.25","338.93","341.40","333.50","17.22M","-1.10%"
"11/22/2021","341.01","349.05","353.83","340.51","27.12M","-1.24%"
"11/19/2021","345.30","342.20","352.10","339.90","26.49M","1.95%"
"11/18/2021","338.69","339.72","342.46","335.30","17.49M","-0.61%"
"11/17/2021","340.77","344.24","347.30","340.10","13.60M","-0.64%"
"11/16/2021","342.96","343.83","346.65","340.87","18.18M","-1.32%"
"11/15/2021","347.56","344.34","353.65","343.20","25.08M","1.96%"
"11/12/2021","340.89","330.18","341.86","329.78","25.41M","4.01%"
"11/11/2021","327.74","329.82","332.46","327.00","12.38M","0.03%"
"11/10/2021","327.64","332.49","333.19","325.51","21.87M","-2.30%"
"11/09/2021","335.37","340.00","341.31","334.47","17.56M","-0.96%"
"11/08/2021","338.62","344.42","344.79","338.34","18.34M","-0.74%"
"11/05/2021","341.13","340.31","346.79","339.64","26.87M","1.57%"
"11/04/2021","335.85","334.01","337.27","332.65","22.50M","1.28%"
"11/03/2021","331.62","327.49","332.15","323.20","20.79M","1.08%"
"11/02/2021","328.08","331.38","334.79","323.80","28.35M","-0.58%"
"11/01/2021","329.98","326.04","333.45","326.00","31.52M","1.98%"
"10/29/2021","323.57","320.19","326.00","319.60","37.06M","2.10%"
"10/28/2021","316.92","312.99","325.52","308.11","50.81M","1.51%"
"10/27/2021","312.22","314.19","319.25","312.06","29.97M","-1.14%"
"10/26/2021","315.81","328.26","330.21","309.60","65.65M","-3.92%"
"10/25/2021","328.69","320.30","329.56","319.72","38.41M","1.26%"
"10/22/2021","324.61","326.35","329.63","321.11","35.22M","-5.05%"
"10/21/2021","341.88","340.27","342.31","337.80","16.35M","0.32%"
"10/20/2021","340.78","343.44","343.98","339.45","13.64M","0.23%"
"10/19/2021","339.99","339.64","342.46","337.28","18.79M","1.39%"
"10/18/2021","335.34","328.95","335.89","327.50","21.59M","3.26%"
"10/15/2021","324.76","328.68","329.07","322.51","21.60M","-1.15%"
"10/14/2021","328.53","328.36","330.52","327.10","14.30M","1.23%"
"10/13/2021","324.54","326.97","327.00","322.66","14.76M","0.24%"
"10/12/2021","323.77","323.03","324.38","317.37","31.66M","-0.52%"
"10/11/2021","325.45","327.62","330.46","325.31","14.71M","-1.39%"
"10/08/2021","330.05","331.51","333.40","328.71","15.95M","0.25%"
"10/07/2021","329.22","337.00","338.84","328.98","28.31M","-1.32%"
"10/06/2021","333.64","329.74","334.38","325.80","26.44M","0.20%"
"10/05/2021","332.96","328.58","335.18","326.16","35.38M","2.06%"
"10/04/2021","326.23","335.53","335.94","322.70","42.88M","-4.89%"
"10/01/2021","343.01","341.61","345.02","338.64","14.91M","1.07%"
"09/30/2021","339.39","340.44","342.80","338.15","16.55M","-0.06%"
"09/29/2021","339.61","343.15","345.23","338.88","14.45M","-0.31%"
"09/28/2021","340.65","347.97","349.60","338.92","21.71M","-3.66%"
"09/27/2021","353.58","349.81","355.15","347.08","15.21M","0.18%"
"09/24/2021","352.96","343.24","354.35","342.37","18.80M","2.02%"
"09/23/2021","345.96","345.36","349.67","343.00","21.81M","0.80%"
"09/22/2021","343.21","347.23","349.84","340.69","43.69M","-3.99%"
"09/21/2021","357.48","358.50","360.04","355.19","11.75M","0.50%"
"09/20/2021","355.70","359.30","361.03","349.80","19.82M","-2.47%"
"09/17/2021","364.72","371.40","371.41","361.59","26.30M","-2.24%"
"09/16/2021","373.06","372.79","373.56","369.71","11.93M","-0.23%"
"09/15/2021","373.92","377.00","377.56","367.67","17.94M","-0.69%"
"09/14/2021","376.53","377.40","378.59","375.11","8.71M","0.01%"
"09/13/2021","376.51","381.68","381.75","374.35","13.03M","-0.58%"
"09/10/2021","378.69","381.36","383.79","378.26","11.55M","0.18%"
"09/09/2021","378.00","377.64","379.83","376.56","9.10M","0.11%"
"09/08/2021","377.57","380.16","380.87","374.79","11.07M","-1.21%"
"09/07/2021","382.18","375.88","382.96","373.15","10.80M","1.57%"
"09/03/2021","376.26","374.75","377.16","373.11","7.51M","0.26%"
"09/02/2021","375.28","381.50","381.75","374.06","14.84M","-1.77%"
"09/01/2021","382.05","379.59","384.33","378.81","11.57M","0.70%"
"08/31/2021","379.38","379.95","382.76","378.80","12.35M","-0.34%"
"08/30/2021","380.66","372.56","381.49","370.52","13.55M","2.15%"
"08/27/2021","372.63","365.10","373.74","364.08","11.22M","2.26%"
"08/26/2021","364.38","368.38","369.44","364.13","7.89M","-1.09%"
"08/25/2021","368.39","365.60","370.86","365.40","9.68M","0.79%"
"08/24/2021","365.51","363.66","367.96","361.84","9.24M","0.59%"
"08/23/2021","363.35","359.44","365.69","359.10","10.94M","1.11%"
"08/20/2021","359.37","354.60","359.99","353.31","8.70M","1.20%"
"08/19/2021","355.12","351.35","357.57","351.00","12.00M","-0.09%"
"08/18/2021","355.45","356.25","359.86","355.15","10.04M","-0.84%"
"08/17/2021","358.45","362.98","364.67","355.07","12.33M","-2.21%"
"08/16/2021","366.56","362.52","366.95","357.38","11.23M","0.93%"
"08/13/2021","363.18","362.97","364.66","361.48","7.20M","0.15%"
"08/12/2021","362.65","358.45","363.00","357.11","7.18M","0.75%"
"08/11/2021","359.96","362.10","362.36","357.81","8.40M","-0.32%"
"08/10/2021","361.13","361.82","364.10","359.04","7.47M","-0.13%"
"08/09/2021","361.61","363.76","365.77","360.75","7.80M","-0.52%"
